letter,page,line,next_line,mark,head,tail,joined,decision,confidence,reason,crosses_page,joined_corpus,joined_dwds,head_corpus,head_dwds,tail_corpus,tail_dwds,context
65,2,5024,5025,¬,her,gesandt,hergesandt,join,high,joined form occurs elsewhere in this corpus,False,2,,64,,32,,das allerbaldigste Franco bis Boyadel her¬ || gesandt werden. Ich zahle dann laut den be
65,2,5036,5037,¬,Cour,Mein,CourMein,split,high,joined form unattested; both halves are real words,False,0,0,13,6934,253,0,en ganzen Wust erhielt ich 2003 Rthl Cour¬ || Mein Haabe legte ich was ich in meinen Rei
65,2,5041,5042,¬,alsge,Rthl,alsgeRthl,join,high,head is not a word on its own,False,0,0,0,0,1519,,"steckt werden, ihn borgte an Contra alsge¬ || 9000 Rthl Papiere und deponirte diese dies"
65,3,5060,5061,¬,auf,Gewähre,aufGewähre,split,high,joined form unattested; both halves are real words,False,0,0,1039,334349961,2,533,nde mit den Eyfen und Spiritus Handel auf¬ || Gewähre Sie Gnädigster Fürst und Herr ja d
65,3,5062,5063,¬,prompt,Vor,promptVor,split,high,joined form unattested; both halves are real words,False,0,0,4,448744,295,105411485,entl Eysen ich zahle dann wahrlich prompt¬ || Vor 5 Tagen hörte ich hier von mehrern Sei
66,1,5083,5084,¬,Vestungs,Strafe,VestungsStrafe,join,high,head is not a word on its own,False,0,0,0,0,4,,"chen Denuncianten mit 6 jähriger Vestungs¬ || Strafe belegt werden sollen, - die Aufwieg"
66,1,5086,5087,¬,Ober,Consistorial,OberConsistorial,split,high,joined form unattested; both halves are real words,False,0,0,52,146268,2,126,"dennoch um seines Vaters willen, der Ober¬ || Consistorial Rath in Berlin ist, alles mög"
66,2,5106,5107,¬,Ober,Praefect,OberPraefect,split,high,joined form unattested; both halves are real words,False,0,0,52,146268,6,14,"hießen, wo Honrichs den einen an den Ober¬ || Praefect Parczyneli, einen für den Ober Tr"
66,2,5110,5111,¬,willkühr,Gehts,willkührGehts,split,high,joined form unattested; both halves are real words,False,0,0,2,180,5,879722, und schneiden ihre Pfeifen noch willkühr¬ || Gehts nach Wunsch den erhält Honrichs die 
66,2,5115,5116,¬,schmerz,Soweit,schmerzSoweit,split,high,joined form unattested; both halves are real words,False,0,0,5,259432,7,2747463,"zurük, aber unter des kan man sie schmerz¬ || Soweit die Pohlnische Angelegenheiten"
66,4,5160,5161,¬,Appeln,Rthl,AppelnRthl,join,high,head is not a word on its own,False,0,0,0,217,1519,,en erst von dem Synditeur Horne zu Appeln¬ || 173 Rthl 6 s. g. Münze erhalten - der Cent
66,4,5161,5162,¬,ver,dungen,verdungen,join,high,joined form occurs elsewhere in this corpus,False,1,,3,,1,," Centy ist bis Stogadel a 10 g. münze ver¬ || dungen, thut für 1000 Cantz 416 Rthl 16 g."
67,2,5228,5229,¬,zeigen,Ich,zeigenIch,split,high,joined form unattested; both halves are real words,False,0,0,18,28006050,4451,255244905,"t sind, und da muß sich der Betrug zeigen¬ || Ich kan das mit allen Rechte da die Seques"
67,2,5245,5246,¬,ge,ſichert,geſichert,join,high,joined form occurs elsewhere in this corpus,False,5,,22,,6,, als wodurch Ewer durchlaucht Anrechte ge¬ || ſichert worden. Wie ich glaube haben die H
67,3,5253,5254,¬,An,gelegenheiten,Angelegenheiten,join,high,joined form occurs elsewhere in this corpus,False,56,,992,,2,,"hier mit der Wittwen Casse wegen meine An¬ || gelegenheiten aufs Reine bin, den komme ic"
67,3,5268,5269,¬,ver,längert,verlängert,join,high,joined form occurs elsewhere in this corpus,False,2,,3,,1,,"eral Moratorium wäre bis Johanni 1810 ver¬ || längert, und man sage es solle nach einem "
67,4,5289,5290,¬,wie,können,wiekönnen,split,high,joined form unattested; both halves are real words,False,0,7,514,152403535,315,217791082,"ß Hawich und Hecker Canalle sind, den wie¬ || können die Liebe sagen das Geld aus den La"
67,4,5299,5300,¬,wer,Hecker,werHecker,split,high,joined form unattested; both halves are real words,False,0,0,26,26528628,33,74480,igen gemacht so werde sie gezüchtiget wer¬ || Hecker soll von seine Papierne Caution nie
68,1,5321,5322,¬,an,Ich,anIch,split,high,joined form unattested; both halves are real words,False,0,494,992,203629291,4451,255244905,y den Friedensrichter Kwilecki Termini an¬ || Ich schicke daher einen Bothen an Lombardi
68,2,5337,5338,¬,zurück,Nur,zurückNur,split,high,joined form unattested; both halves are real words,False,0,0,185,13566331,697,106911014,d Ewr Durchlaucht erhalten selbige zurück¬ || Nur säumen Sie Gnädiger Herr nicht – ich b
68,3,5362,5363,-,todt,heute,todtheute,split,high,joined form unattested; both halves are real words,False,0,0,23,45725,144,32746313,as hernehmen? Mein Credit ist reinen todt- || heute hat mein Richter ſeine Uhr verſagt d
70,3,5476,5477,-,ge,schehen,geschehen,join,high,joined form occurs elsewhere in this corpus,False,94,,22,,3,,es mündlich noch mit mehrere Nachdruck ge- || schehen. - Rochad meint es mit Ewr Durchla
71,2,5520,5521,-,Schlawenschitz,In,SchlawenschitzIn,split,high,joined form unattested; both halves are real words,False,0,0,42,0,1855,0,den komme ich sofort nach Schlawenschitz- || In tiefen Respect ersterbe als
71,2,5523,5524,¬,an,noch,annoch,join,high,joined form occurs elsewhere in this corpus,False,2,,992,,881,,Die Pohlinische Sachen werden sehr an¬ || noch zähle ich besonders
72,1,5534,5535,¬,Nachrich,ten,Nachrichten,join,high,joined form occurs elsewhere in this corpus,False,44,,0,,468,,uletzt mir gütigst mitgetheilten Nachrich¬ || ten zufolge habe ich seit Empfang derselbe
72,1,5535,5536,¬,Woche,ich,Wocheich,split,high,joined form unattested; both halves are real words,False,0,0,16,22433910,4451,255244905,seit Empfang derselben von Woche zu Woche¬ || ich möchte fast sagen von Tage zu Tage Ew 
72,1,5537,5538,¬,entge,gengesehen,entgegengesehen,join,high,"joined form attested in DWDS (37,345 hits)",False,0,37345,0,,1,,"ten Ankunft mit dem H. v. Brzechsta entge¬ || gengesehen, und lange Zeit mit solcher Gew"
72,1,5538,5539,¬,ge,rechnet,gerechnet,join,high,joined form occurs elsewhere in this corpus,False,15,,22,,9,,"ange Zeit mit solcher Gewißheit darauf ge¬ || rechnet, daß ich darüber das ganze Tausch "
72,1,5545,5546,¬,Ver,pachtungsprojekt,Verpachtungsprojekt,split,high,joined form unattested; both halves are real words,False,0,0,3,0,1,0,"anders als glauben kann, daß sich das Ver¬ || pachtungsprojekt mit dem H. v Brzechsta, w"
72,1,5546,5547,¬,Hoch,Wohlgebohren,HochWohlgebohren,join,high,joined form occurs elsewhere in this corpus,False,52,,21,,2,,"t mit dem H. v Brzechsta, welches Ew Hoch¬ || Wohlgebohren unter der Bedingung meiner na"
72,1,5552,5553,¬,entschrei,denden,entschreidenden,join,high,head is not a word on its own,False,0,0,0,0,1,,"esitzungen endlich einmal einen entschrei¬ || denden Entschluß zu fassen, sind es, welch"
72,1,5556,5557,¬,Hochwohl,gebohren,Hochwohlgebohren,join,high,joined form occurs elsewhere in this corpus,False,52,,3,,2,,üter zu ertheilen. Ich glaube Ew Hochwohl¬ || gebohren durch meine Handlungsweise jederz
72,1,5557,5558,¬,un,zweideutige,unzweideutige,join,high,"joined form attested in DWDS (18,086 hits)",False,0,18086,5,,1,, meine Handlungsweise jederzeit solche un¬ || zweideutige Beweise von Nachgiebigkeit und
72,1,5560,5561,¬,Ver,hältnissen,Verhältnissen,join,high,joined form occurs elsewhere in this corpus,False,1,,3,,1,,"en uns bestehenden freundschaftlichen Ver¬ || hältnissen nur immer verlangen könnten, we"
72,2,5564,5565,¬,Ge,durch,Gedurch,split,high,joined form unattested; both halves are real words,False,0,116,22,215421,519,77747868,"lles erschöpft zu haben, was Ihnen die Ge¬ || durch Nachsicht und Achtung eines Freundes"
72,2,5567,5568,¬,Hochwohlgeboh,Mitwissen,HochwohlgebohMitwissen,join,high,head is not a word on its own,False,0,0,0,0,1,,"gung dieses meines ohne Ew. Hochwohlgeboh¬ || Mitwissen gethanen Schrittes, als, wie ich"
72,2,5570,5571,¬,Schwie,persohnen,Schwiepersohnen,join,high,head is not a word on its own,False,0,0,0,512,1,,"gen dazu habe. Mit meinem Sohn und Schwie¬ || persohnen, welche nur kurze Zeit bei mir z"
72,2,5573,5574,¬,ge,troffen,getroffen,join,high,joined form occurs elsewhere in this corpus,False,5,,22,,1,,"nd thun ließ, wegen meines Arrangemens ge¬ || troffen, und es hängt dies größentheils mi"
72,2,5587,5588,¬,Thätig,keit,Thätigkeit,join,high,joined form occurs elsewhere in this corpus,False,3,,7,,10,,hlgeb. werden mit der Ihnen eignen Thätig¬ || keit und Geschaftskunde zu der Ausführung 
72,2,5589,5590,¬,gerecht,werden,gerechtwerden,split,high,joined form unattested; both halves are real words,False,0,134,2,1807916,891,466722429,"er mitwirken, und da ich um allen gerecht¬ || werden zu können, auch alle meine Kräfte a"
72,3,5609,5610,¬,gu,tigen,gutigen,split,high,joined form unattested; both halves are real words,False,0,46,1,15667,6,5359,"wenn Ew H. mir jetzt den Erfolg seiner gu¬ || tigen Bemühungen melden konnten, darinkeit"
72,3,5621,5622,¬,häu,fen,häufen,join,high,joined form occurs elsewhere in this corpus,False,2,,0,,1,,kbarkeit gegen dieselben noch mehr zu häu¬ || fen. Und so wende ich mich denn aus einer 
72,4,5629,5630,¬,gro,sten,grosten,split,high,joined form unattested; both halves are real words,False,0,10,0,12003,10,30411,"chlossen ist, und ohne dies zu seinem gro¬ || sten Nachtheil daran verhindert seyn würde"
72,4,5630,5631,¬,wür,Ew,würEw,split,high,joined form unattested; both halves are real words,False,0,0,0,3393,176,12117,heil daran verhindert seyn würde. Ich wür¬ || Ew. Hl. nicht so inständigst darum angehen
72a,1,5647,5648,¬,War,schon,Warschon,split,high,joined form unattested; both halves are real words,False,0,42,245,835493046,424,63970472,"efect v. Brzechsta pr Estaffette nach War¬ || schon berufen würden, so schritete der Pla"
72a,2,5656,5657,¬,dispo,niren,disponiren,join,high,joined form occurs elsewhere in this corpus,False,9,,0,,1,,biren oder anderweit über die Güter dispo¬ || niren wollen. Nach unsern Plan will dH v B
72a,2,5668,5669,¬,eingehän,digt,eingehändigt,join,high,head is not a word on its own,False,0,356,0,0,1,, durch den Burgruf von Jarnowski eingehän¬ || digt. Ich muß jezt die im Code Napoleon fe
72a,2,5670,5671,¬,Har,härtesten,Harhärtesten,split,high,joined form unattested; both halves are real words,False,0,0,0,7579,1,4474644," des Urtels abwarten, um dann mit der Har¬ || härtesten Execution vorzuschreiten. Vielle"
72b,1,5725,5726,¬,ent,nehmen,entnehmen,join,high,joined form occurs elsewhere in this corpus,False,7,,1,,128,,"len Ewr Hochfürstliche Durchlaucht zu ent¬ || nehmen geruhen, daß Herr v. Brzechsta erst"
72b,1,5736,5737,¬,leit,würde,leitwürde,split,high,joined form unattested; both halves are real words,False,0,0,1,2590747,334,466722429,"r dies redreisen und die Sache dahin leit¬ || würde, daß nicht mehr als bisher gegeben w"
72b,2,5741,5742,¬,sau,beren,sauberen,join,high,"joined form attested in DWDS (1,795,350 hits)",False,0,1795350,0,,1,,"t, durch einen dritten wurden für die sau¬ || beren Geschäftsmänner 500 Th gefordert, wo"
72b,2,5742,5743,¬,her,nehmen,hernehmen,join,high,joined form occurs elsewhere in this corpus,False,13,,64,,128,,"er 500 Th gefordert, wo hätte ich die her¬ || nehmen sollen. Indes hoffe ich nun durch d"
72b,2,5746,5747,¬,ange,meldet,angemeldet,join,high,"joined form attested in DWDS (2,556,573 hits)",False,0,2556573,0,,3,, Bauern haben noch keine Appellation ange¬ || meldet – Sie drohen aber damit – Indes sch
72b,3,5766,5767,¬,ver,lohren,verlohren,join,high,joined form occurs elsewhere in this corpus,False,48,,3,,1,,"n 8000 Rthl - den Prozeß hat der Bube ver¬ || lohren, er ist mit seiner Forderung jezt g"
72b,3,5773,5774,¬,beizu,treiben,beizutreiben,join,high,joined form occurs elsewhere in this corpus,False,8,,0,,16,,r vorzüglichstes Bemühen zins reste beizu¬ || treiben - der Herr v. Brzechsta wird dabey
72d,1,5827,5828,¬,verschie,dner,verschiedner,join,high,head is not a word on its own,False,0,265,0,824,1,,"dich zu benachrichtigen, daß ich verschie¬ || dner Geschäfte wegen erst den 15t d. M. au"
72d,1,5833,5834,¬,ab,geht,abgeht,join,high,joined form occurs elsewhere in this corpus,False,6,,96,,116,,"gen Kürze der Zeit, da die Gelegenheit ab¬ || geht, kann ich Dir nicht mehr schreiben"
72f,2,5888,5889,¬,Vorge,gen,Vorgegen,split,high,joined form unattested; both halves are real words,False,0,82,1,1219,60,381373,n abgerufen und wegen verschiedenen Vorge¬ || gen in Observation genommen. Ich aber hätt
72f,2,5891,5892,¬,bekom,ich,bekomich,join,high,head is not a word on its own,False,0,0,0,430,4451,,ieber bekam Elend an diesen liegend bekom¬ || ich vor 14 Tagen das ärgste Podogra in bei
72f,3,5915,5916,¬,ver,kauft,verkauft,join,high,joined form occurs elsewhere in this corpus,False,26,,3,,7,," nehmen, bin und Brandwein wird nicht ver¬ || kauft, keiner That mehr einen Groſchen zu "
72f,4,5932,5933,¬,erb,die,erbdie,split,high,joined form unattested; both halves are real words,False,0,0,4,217132,4570,0,eitere Mehrere herinaden mag ich sehr erb¬ || die Noth ist gränzendos - Ich leide die gr
73,1,5976,5977,¬,noth,erfoderlich,notherfoderlich,split,high,joined form unattested; both halves are real words,False,0,0,68,11632,1,1001,"int mir zur gehörigen Sicherstellung noth¬ || erfoderlich zu seyn, und bitte ich Ein Hoc"
73,2,6003,6004,¬,Ver,zögerung,Verzögerung,join,high,joined form occurs elsewhere in this corpus,False,5,,3,,5,,inen Schritt weiter vorgerückt welche Ver¬ || zögerung theils durch seine schwer erlitte
73,2,6008,6009,¬,beschick,und,beschickund,split,high,joined form unattested; both halves are real words,False,0,0,0,16069,5259,1133103472,"eschäfte nimmt, so werde ich Ihn beschick¬ || und seinen Endschluß näher zu vernehmen, i"
73,3,6027,6028,¬,na,denen,nadenen,split,high,joined form unattested; both halves are real words,False,0,0,4,1650764,34,409402783," willkommen seyn, wenn ich es nur noch na¬ || denen mir von dem H. Rittmeister v. Stösse"
73,3,6035,6036,¬,Azan,gement,Azangement,split,high,joined form unattested; both halves are real words,False,0,0,0,1190,2,275,ülfe zu verschaffen und ein konettes Azan¬ || gement meiner Angelegenheiten zu erziehlen
74a,1,6084,6085,¬,be,zahlt,bezahlt,join,high,joined form occurs elsewhere in this corpus,False,103,,3,,26,,"e Mittel von demselben diesen Zinsrest be¬ || zahlt zu erhalten sind fruchtlos gewesen, "
74a,1,6089,6090,¬,Compa,tenten,Compatenten,join,high,head is not a word on its own,False,0,0,0,322,1,,"llmächtiget, in ihrem Namen bey dem Compa¬ || tenten Herzog Warschau, Tribunal für jezt "
74a,1,6092,6093,-,Übel,stand,Übelstand,join,high,"joined form attested in DWDS (1,849 hits)",False,0,1849,12,,19,,"erschuldet sind, tritt hier auch der Übel- || stand ein, das, besage des unter Bitte der"
74a,1,6098,6099,-,er,giebt,ergiebt,join,high,joined form occurs elsewhere in this corpus,False,4,,1274,,61,,"tionis, anliegenden Hypothequen Schein er- || giebt, daß dem von Triebenfeld zugehörige "
74a,1,6101,6102,¬,gleich,fals,gleichfals,join,high,joined form occurs elsewhere in this corpus,False,1,,140,,8,,"s Brech O Landes Gerichts gelegen, gleich¬ || fals mit beträchtlichen Schulden belästet "
74a,2,6122,6123,-,Maas,gabe,Maasgabe,split,high,joined form unattested; both halves are real words,False,0,8,0,262894,5,362475,"en Caße, welche Jura Fisci hat, nach Maas- || gabe des § 33 Part. 1. Titel 29 der Gerich"
74a,2,6124,6125,-,rück,ständigen,rückständigen,join,high,joined form occurs elsewhere in this corpus,False,17,,15,,2,,"feld von 50000 tl. Capital und davon rück- || ständigen Zinsen zur H. wird, wenn gleich "
74a,2,6128,6129,¬,De,cret,Decret,join,high,joined form occurs elsewhere in this corpus,False,19,,19,,1,,"hrift mit diesem Schreiben eingesandte De¬ || cret der Kallischen Praefectur dargethan, "
74a,2,6132,6133,¬,ge,bracht,gebracht,join,high,joined form occurs elsewhere in this corpus,False,54,,22,,3,,"m die ganze Sicherheit ihrer Forderung ge¬ || bracht, und da notorisch die Vermögens Ums"
74a,2,6135,6136,¬,Solcher,gestalt,Solchergestalt,split,high,joined form unattested; both halves are real words,False,0,232,10,0,7,1009219,00 Rthl mit Arrest belegt werden; Solcher¬ || gestalt tritt des 2ten Erforderniß eines A
74a,2,6143,6144,¬,Befriedi,gung,Befriedigung,join,high,joined form occurs elsewhere in this corpus,False,14,,0,,2,,"ts dem von Triebenfeld zu seiner Befriedi¬ || gung überlaßen haben, fundirt. Beide der F"
74d,1,6206,6207,¬,vorge,stellt,vorgestellt,join,high,"joined form attested in DWDS (6,400,337 hits)",False,0,6400337,1,,1,,"cken vermachte Legat von 80000 Rthl vorge¬ || stellt und zu verfügen gebeten hat, solche"
74d,1,6207,6208,¬,anlie,genden,anliegenden,join,high,joined form occurs elsewhere in this corpus,False,3,,0,,2,,wir demselben aus der Abschriftlich anlie¬ || genden Vorstellung vom 30ten V. M. zu erse
74d,1,6210,6211,¬,In,struction,Instruction,join,high,joined form occurs elsewhere in this corpus,False,7,,1855,,1,,", und zu deßen Rechtfertigung auch zur In¬ || struction der Sache einen Termin auf den 2"
74d,1,6213,6214,¬,Cammer,gericht,Cammergericht,join,high,joined form occurs elsewhere in this corpus,False,1,,30,,30,,"iermit sich zur bestimmten Zeit im Cammer¬ || gericht in Person, oder durch einen der be"
74d,1,6220,6221,¬,be,sonders,besonders,join,high,joined form occurs elsewhere in this corpus,False,87,,3,,2,," der Haupt- doch in der Arrest- Sache, be¬ || sonders wenn derselbe die Aufhebung des Ar"
74d,1,6221,6222,¬,ver,langen,verlangen,join,high,joined form occurs elsewhere in this corpus,False,12,,3,,11,,"ng des Arrestes etwa gegen Bürgschaft ver¬ || langen solte, gütliche Handlung zu pflegen"
75,1,6244,6245,¬,einsicht,Nur,einsichtNur,split,high,joined form unattested; both halves are real words,False,0,0,3,540207,697,106911014,am Ende seinen Vorteil einsicht¬ || Nur traure ich auf der andern Seite
75,3,6280,6281,¬,Nach,richt,Nachricht,join,high,joined form occurs elsewhere in this corpus,False,76,,878,,3,,ist wie der retournirte Expresse die Nach¬ || richt von Grävenitz bringt nicht zu Hause 
76,1,6295,6296,¬,Reine,ich,Reineich,split,high,joined form unattested; both halves are real words,False,0,0,55,34946,4451,255244905,ist die Sache in Kurzen aufs Reine¬ || ich gehn
76,1,6297,6298,¬,deßel,Monats,deßelMonats,join,high,head is not a word on its own,False,0,0,0,5,8,,"br nach Berlin, und bleibe bis Ende deßel¬ || Monats dörfen."
76,1,6300,6301,¬,Hoch,Fürstliche,HochFürstliche,join,high,joined form occurs elsewhere in this corpus,False,271,,21,,6,, theilhaftig zu werden hoffe ist Ewr Hoch¬ || Fürstliche Durchlaucht Gesund wiederzusehe
76,1,6301,6302,¬,Hoch,denenselben,Hochdenenselben,split,high,joined form unattested; both halves are real words,False,0,0,21,31455850,31,45,laucht Gesund wiederzusehen und mich Hoch¬ || denenselben Persöhnlich zu Füßen legen zu 
77,2,6343,6344,¬,Ver,legenheit,Verlegenheit,join,high,joined form occurs elsewhere in this corpus,False,6,,3,,4,, ich zugleich auch damit man nicht in Ver¬ || legenheit komt und dem Guten König das Wor
78,1,6395,6396,¬,all,gemeinen,allgemeinen,join,high,joined form occurs elsewhere in this corpus,False,8,,10,,4,,"arüber auszulaßen, als daß ich ihn im all¬ || gemeinen ersuchte, wenn er hinderniße fänd"
78,2,6399,6400,¬,Aus,kunft,Auskunft,join,high,joined form occurs elsewhere in this corpus,False,12,,543,,1,," was ihm bedenken machen könnte, sich Aus¬ || kunft von mir ertheilen zu laßen. Auf mein"
78,2,6400,6401,¬,Verlan,gen,Verlangen,join,high,joined form occurs elsewhere in this corpus,False,12,,0,,60,,"n mir ertheilen zu laßen. Auf mein Verlan¬ || gen, von allem, das in der Sache vorgehen "
78,2,6415,6416,¬,ver,tragen,vertragen,join,high,"joined form attested in DWDS (441,375 hits)",False,0,441375,3,,33,,"de ich Euer Wohl. bloß Wahrheiten ver¬ || tragen, und mich nie davon entfernen werde"
78,2,6417,6419,¬,Ver,führung,Verführung,join,review,crosses a page break - check by hand,True,2,81905,3,0,3,5476912,"nenselben nur bloß die unterthänigste Ver¬ || führung geben, daß ich alles was in meinen"
78,3,6421,6422,-,ge,setzt,gesetzt,join,high,joined form occurs elsewhere in this corpus,False,10,,22,,3,,"die zu übersendende Vollmacht im Stand ge- || setzt werden, genauer recognosciren zu kön"
78,3,6431,6432,¬,bevoll,mächtigt,bevollmächtigt,join,high,joined form occurs elsewhere in this corpus,False,1,,0,,1,,"ch in Unterhandlungen einzulassen, bevoll¬ || mächtigt sey. H."
78,3,6434,6435,¬,Quit,tung,Quittung,join,high,joined form occurs elsewhere in this corpus,False,15,,1,,3,,"on der Grotowskischen Sache, und die Quit¬ || tung des Schneides will ich mir unterthäni"
78,3,6436,6437,¬,Wohl,Intencohe,WohlIntencohe,split,high,joined form unattested; both halves are real words,False,0,0,223,13849753,1,0,"em Eifer Ch. v. Triebenfeld für Euer Wohl¬ || Intencohe, Gerechtigkeit wiederfahren lass"
79,1,6463,6464,¬,Wor,ners,Worners,split,high,joined form unattested; both halves are real words,False,0,574,0,7879,1,536,"elche nach dem Hinscheide des Ex Min: Wor¬ || ners, dem H. Gr v. Schulemburg übertragen "
79,1,6473,6474,-,Ernst,den,Ernstden,split,high,joined form unattested; both halves are real words,False,0,0,8,2136960,2760,0,"zu thun, und ich glaube es ist sein Ernst- || den er meinte, daß er es um deswilligen ge"
79,2,6485,6486,¬,aufrich,tig,aufrichtig,join,high,joined form occurs elsewhere in this corpus,False,5,,0,,4,,hm hatt es ihm selber erzählt und aufrich¬ || tig gesagt macht mich dies den meisten Mut
79,2,6486,6487,¬,wan,Der,wanDer,join,high,"joined form attested in DWDS (17,525 hits)",False,0,17525,93,,3841,,acht mich dies den meisten Muth – den wan¬ || Der König es nicht recht ernstlich mit der
79,2,6491,6492,¬,gewes,bestens,gewesbestens,join,high,head is not a word on its own,False,0,0,0,251,17,,"h auch außerdem, daß die Sache ganz gewes¬ || bestens gehen wird. Und die Kerls müßen fü"
79,2,6495,6496,¬,über,ihren,überihren,split,high,joined form unattested; both halves are real words,False,0,13,301,112520162,106,170061810,"Tochter, welche ein großes Ascendent über¬ || ihren Vater hatt erhält 2500 Rthl Klewis 3"
79,3,6521,6522,¬,Stra,uensee,Strauensee,split,high,joined form unattested; both halves are real words,False,0,0,1,2828,1,21,"werden - dieser leztere ist sehr auf Stra¬ || uensee aufgebracht, da der den Krieg wider"
79,3,6523,6524,¬,ge,sagt,gesagt,join,high,joined form occurs elsewhere in this corpus,False,99,,22,,103,,"ey kein Geld da - ja er soll gerade zu ge¬ || sagt haben, welches auch Goldbeck beypflic"
79,4,6534,6535,¬,da,dies,dadies,split,high,joined form unattested; both halves are real words,False,0,23,447,57634801,560,0,"s Collegien mit unterordnen solle, die da¬ || dies ex officio besorgen müßen - der Graf "
79,4,6546,6547,¬,Gu,rück,Gurück,split,high,joined form unattested; both halves are real words,False,0,0,1,15667,15,0,"re ich aus der Wittwen Casse auf meine Gu¬ || rück, damit es, wann es erfordert wird bey"
80,1,6568,6569,-,ver,schiedenes,verschiedenes,join,high,joined form occurs elsewhere in this corpus,False,1,,3,,2,,nach Versicherung eines andern Mannes ver- || schiedenes von Ewr Durchlaucht gesprochen 
80,1,6570,6571,-,Mo,nach,Monach,split,high,joined form unattested; both halves are real words,False,0,59,0,1591187,878,156778084,"t hierbey bestättiget daß Sie der gute Mo- || nach wahrhaftig schäzt, und in dieser Hins"
81,1,6595,6596,¬,Registra,tus,Registratus,join,high,head is not a word on its own,False,0,0,0,65,2,,"u melden. In der Südgreustischen Registra¬ || tus mit Expedition, woran ich so eben zurü"
81,1,6600,6601,¬,zweck,mäßig,zweckmäßig,join,high,"joined form attested in DWDS (106,339 hits)",False,0,106339,14,,5,,s decretirt ist. Ich halte es nicht zweck¬ || mäßig der p Schulze so oft mit meinen Visi
81,1,6601,6602,¬,be,helligen,behelligen,join,high,joined form occurs elsewhere in this corpus,False,1,,3,,1,,"p Schulze so oft mit meinen Visiten zu be¬ || helligen, da ich was er vorläufig wißen mu"
82,1,6623,6624,¬,zuge,fertigte,zugefertigte,split,high,joined form unattested; both halves are real words,False,0,9,2,3709,1,1282203,m Könige ihm in Ew Durchlaucht Sache zuge¬ || fertigte Cabinets Schreiben dahin nachgesa
82,1,6628,6629,¬,Mit,tag,Mittag,join,high,joined form occurs elsewhere in this corpus,False,5,,1423,,41,,"enau nachgeforscht, allein bis diesen Mit¬ || tag ist noch nichts eingegangen und kan es"
82,1,6632,6633,¬,Ur,laub,Urlaub,join,high,joined form occurs elsewhere in this corpus,False,6,,0,,1,,"üher zurück kommt, als eigentlich sein Ur¬ || laub abgelaufen u also schon nächsten Donn"
83,1,6655,6656,¬,er,laßene,erlaßene,join,high,"joined form attested in DWDS (79,073 hits)",False,0,79073,1274,,1,,fürstliche Durchlaucht an mir gnädigst er¬ || laßene Schreiben habe ich nebst allen Einl
83,2,6683,6684,¬,erfor,dert,erfordert,join,high,joined form occurs elsewhere in this corpus,False,15,,0,,2,,"in des Prinzen George Sache wird es erfor¬ || dert, daß ein Mann der Sach kenntnis hatt "
84,1,6732,6733,¬,ent,würfe,entwürfe,join,high,"joined form attested in DWDS (1,006,399 hits)",False,0,1006399,1,,2,,ch kommen. Meine Pläne sind nun schon ent¬ || würfe und in eben dieser Stunde gehn ich v
84,1,6738,6739,¬,Add,nau,Addnau,split,high,joined form unattested; both halves are real words,False,0,0,0,8056,1,21233,"man Ewr Durchlaucht von die Starostey Add¬ || nau welche hart mit Krotoszyn gränzt, so"
84,2,6752,6753,¬,außer,H,außerH,split,high,joined form unattested; both halves are real words,False,0,835,35,3178731,300,2078414,"gangen sei - alle meine es gut, und außer¬ || H. v Voss ist jeder Bereit Ewr Durchlaucht"
84,2,6755,6756,¬,einge,gange,eingegange,split,high,joined form unattested; both halves are real words,False,0,63,1,6846,10,2530,nd sind hier sonderbare Nachrichten einge¬ || gange. – Alles ist dorten in Verwirrung we
84,2,6757,6758,¬,be,herrscht,beherrscht,join,high,"joined form attested in DWDS (1,040,958 hits)",False,0,1040958,3,,6,,Maitresse den Kayser ganz umanschränkt be¬ || herrscht - zu Reppnin soll arretirt sie di
84,2,6758,6759,¬,Kurra,n,Kurran,join,high,head is not a word on its own,False,0,5,0,39,14,, - zu Reppnin soll arretirt sie die Kurra¬ || [n?]ins sind alle weg Zubow hatt eilig müß
84,2,6760,6761,¬,Ab,schied,Abschied,join,high,joined form occurs elsewhere in this corpus,False,5,,96,,1,,"urg kommen, und Panin soll auch seinen Ab¬ || schied gefordert haben - die Kayserin ist "
85,1,6785,6786,¬,Gü,ther,Güther,join,high,joined form occurs elsewhere in this corpus,False,11,,2,,2,, mir die Verleuschung Ihre Südßwürstl. Gü¬ || ther gegen die Domainen Aemter Krotoszyn u
85,1,6787,6788,¬,Vor,habe,Vorhabe,split,high,joined form unattested; both halves are real words,False,0,230,295,105411485,860,0,"egangenen Bericht des Eit: Miricht v. Vor¬ || habe. Ich ersehen, daß das Amt Krotoszyn a"
85,1,6791,6792,¬,über,bey,überbey,split,high,joined form unattested; both halves are real words,False,0,0,301,112520162,453,34970,"enue von 49043. Reichl. gewährt, die über¬ || bey einer neuen richtigen Veranschlagung n"
85,1,6792,6793,-,anſehe,lich,anſehelich,split,high,joined form unattested; both halves are real words,False,0,0,1,0,14,61677,"euen richtigen Veranschlagung noch anſehe- || lich erhöhet werden kann, weil der Kr. Rat"
