key,pad,page,transcribed,proposed,decision,why
8a422e70,oe1bu14526-007,9,bei ihren Gerichtsamen,bei ihren Gerechtsamen,y,ruled on; no longer proposed by the translator
4b5b5665,oe1bu14526-007,11,in ner vorgefallenen Verlezung,einer vorgefallenen Verlezung,@1750 Einwande in -> Einwande ei,ruled on; no longer proposed by the translator
571d8b64,oe1bu14526-007,11,ver abgerüdeter,verabredeter,ver abredeter,ruled on; no longer proposed by the translator
dd372c19,oe1bu14526-008,1,Herr Krieges und Forst Hoch v Triebenfeld,Herr Krieges und Forst Rath v. Triebenfeld,@1797 Forst Hoch -> Forst Rath,ruled on; no longer proposed by the translator
b541ad3c,oe1bu14526-008,1,der Einsmaße Christian Friedenberger,der Einsaaße Christian Friedenberger,y,ruled on; no longer proposed by the translator
3109a261,oe1bu14526-008,2,Der Christian Friedenber gen zahlt,Der Christian Friedenberger zahlt,Der Christian Friedenber ger zahlt,ruled on; no longer proposed by the translator
0762d8f9,oe1bu14526-008,3,Erb. Canon dreyßig Athaler,Erb-Canon dreyßig Rthaler,Erb. Canon dreyßig Rthaler,ruled on; no longer proposed by the translator
e1259218,oe1bu14526-008,3,der erste halbjährige Erb gieß,der erste halbjährige Erbzinß,der erste halbjährige Erb zinß,ruled on; no longer proposed by the translator
83f7a640,oe1bu14526-008,4,Dem Erbkäufer stehet esfrey,Dem Erbpächter stehet es frey,@1908 Erbkäufer -> Erbpächter ; @1909 esfrey -> es frey,ruled on; no longer proposed by the translator
648eeb39,oe1bu14526-008,6,ei gentheinlich,eigenthümlich,ei genthümlich,ruled on; no longer proposed by the translator
0c6334d8,oe1bu14526-008,7,aus dem Frage nehmen,aus dem Kruge nehmen,y,ruled on; no longer proposed by the translator
51d22603,oe1bu14526-008,7,sein Getrayde machten,sein Getrayde mahlen,y,ruled on; no longer proposed by the translator
1e42a29c,oe1bu14526-008,9,sonsten,Kosten,y,ruled on; no longer proposed by the translator
ec11b927,oe1bu14526-008,12,fürst Rath,Forst Rath,y,ruled on; no longer proposed by the translator
570a7eed,oe1bu14526-008,13,behanden,Behörden,y,ruled on; no longer proposed by the translator
734173d8,oe1bu14526-008,13,Gelder zu begrahlen,Gelder zu bezahlen,y,ruled on; no longer proposed by the translator
47e585e8,oe1bu14526-008,14,uneinige schränkt,uneingeschränkt,n,ruled on; no longer proposed by the translator
ce78b5a0,oe1bu14526-008,17,derfürst,der Forsten,@2348 derfürst -> der Forsten,ruled on; no longer proposed by the translator
53eec265,oe1bu14526-008,18,nacher bestimmt,näher bestimmt,y,ruled on; no longer proposed by the translator
be2e3a4a,oe1bu14526-008,19,so wie wor den men,"so wie vordem, an Unsere dazu bestimmten Cassen",n,ruled on; no longer proposed by the translator
a369386f,oe1bu14526-008,20,"in dem Hypothequen, Euch",in dem Hypothequen-Buche,"in dem Hypothequen, Buche",ruled on; no longer proposed by the translator
54a97908,oe1bu14526-009,1,Krieges und Fürst Rath,Krieges und Forst-Rath,Krieges und Forst Rath,ruled on; no longer proposed by the translator
2bddaeb0,oe1bu14526-009,1,könntet,lautet,y,ruled on; no longer proposed by the translator
1358e191,oe1bu14526-009,2,es wol tet,es waltet,es wal tet,ruled on; no longer proposed by the translator
0fe54abd,oe1bu14526-009,2,Aussamt,Aussaat,y,ruled on; no longer proposed by the translator
8e10d15c,oe1bu14526-009,3,Sechs mich einander folgende Jahre,Sechs nach einander folgende Jahre,y,ruled on; no longer proposed by the translator
b3fe48c6,oe1bu14526-009,4,Begung lichkeit,Bequemlichkeit,Bequem lichkeit,ruled on; no longer proposed by the translator
3f633d22,oe1bu14526-009,5,Herrn Wirt pachtes,Herrn Verpächter,Herrn Ver pächter,ruled on; no longer proposed by the translator
e1b9bd03,oe1bu14526-009,5,zu späte,zu Gute,y,ruled on; no longer proposed by the translator
a1894f12,oe1bu14526-009,6,Thede,Theile,y,ruled on; no longer proposed by the translator
fa4350be,oe1bu14526-009,7,die Brüder,die Brücken,@2704 Brüder -> Brücken,ruled on; no longer proposed by the translator
9b51f7f8,oe1bu14526-009,7,Dorfskente,Dorfsleute,y,ruled on; no longer proposed by the translator
0504dfce,oe1bu14526-009,7,Pächter darauf,Pächter darf,y,ruled on; no longer proposed by the translator
5a58fa22,oe1bu14526-009,8,§. IV.,§. XIV.,n,ruled on; no longer proposed by the translator
3fd99f30,oe1bu14526-009,8,von kaufen,verkaufen,ver kaufen,ruled on; no longer proposed by the translator
7fca47cc,oe1bu14526-009,9,Kasten dieses Contracts,Kosten dieses Contracts,y,ruled on; no longer proposed by the translator
afb358b8,oe1bu14526-009,10,und Erklährung ſo polnischer Sprüche,in polnischer Sprache,@2800 Sprüche -> Sprache,ruled on; no longer proposed by the translator
64260eb8,oe1bu14526-009,11,Mingdeburgisch,Magdeburgisch,y,ruled on; no longer proposed by the translator
f486b77f,oe1bu14526-009,12,quilis,quittiret,y,ruled on; no longer proposed by the translator
95302d47,oe1bu14526-009,12,Wie terung,Winterung,Win terung,ruled on; no longer proposed by the translator
618e5180,oe1bu14526-009,13,przespisany,przepisany,y,ruled on; no longer proposed by the translator
b5c53444,oe1bu14526-010,1,General Bevollmächtig fer,General Bevollmächtigter,General Bevollmächtig ter,ruled on; no longer proposed by the translator
57093a66,oe1bu14526-010,2,zersönlich,persönlich,y,ruled on; no longer proposed by the translator
d2ba68be,oe1bu14526-010,2,verlantbaren,verlautbaren,y,ruled on; no longer proposed by the translator
0680a2e6,oe1bu14526-010,2,Erbzniß Contract,Erbzinß Contract,@2942 Erbzniß -> Erbzinß,ruled on; no longer proposed by the translator
10a626bf,oe1bu14526-010,3,hie aber,hierbei,hie bei,ruled on; no longer proposed by the translator
d325dfa7,oe1bu14526-010,4,der me erhöhet oder vermüdert werden darf,der nie erhöhet oder vermindert werden darf,@3013 me -> nie ; @3013 vermü -> vermin,"""me"" for ""nie"" and ""vermüdert"" for ""vermindert"" are plausible Kurrent minim confusions; the clause is a standard perpetual-canon formula."
0a090b36,oe1bu14526-010,4,§. II.,§. IV.,n,ruled on; no longer proposed by the translator
923d3f09,oe1bu14526-010,5,diese acquirirten zwar zog Hufen,diese acquirirten zwanzig Hufen,diese acquirirten zwan zig Hufen,ruled on; no longer proposed by the translator
c0c088fe,oe1bu14526-010,6,auch dem übrigen Herrschaftlichen Territorio,auf dem übrigen herrschaftlichen Territorio,@3058 auch -> auf,ruled on; no longer proposed by the translator
823a23a2,oe1bu14526-010,7,für nimmerwährende Zeiten,für immerwährende Zeiten,y,ruled on; no longer proposed by the translator
25bf9ecc,oe1bu14526-010,7,Rauchsen fangsgeld,Rauchfangsgeld,Rauch fangsgeld,ruled on; no longer proposed by the translator
be3f9191,oe1bu14526-010,7,Hohe Diensten,Hofe-Diensten,Hofe Diensten,ruled on; no longer proposed by the translator
51f50a01,oe1bu14526-010,8,Annehware,Annehmer,n,"Elsewhere in the same instrument (§ VI) the German has ""die übrigen Annehmern""; ""Annehware"" appears to be a transcription error."
5e0acdb2,oe1bu14526-010,8,Richten,Rechte,n,ruled on; no longer proposed by the translator
eb4a8600,oe1bu14526-010,10,Con nach,Contract,Con tract,ruled on; no longer proposed by the translator
7f5981b6,oe1bu14526-010,10,statt indenden,stattfindenden,statt findenden,ruled on; no longer proposed by the translator
155eb853,oe1bu14526-010,12,Richten,Rechte,y,ruled on; no longer proposed by the translator
17a51c15,oe1bu14526-010,12,An millirung,Annullirung,An nullirung,ruled on; no longer proposed by the translator
6e02247b,oe1bu14526-010,14,Wahr nung,Wohnung,Woh nung,ruled on; no longer proposed by the translator
2e0c76bd,oe1bu14526-010,15,Fürstliches Hohenlohlesches Patrimonial Gericht,Fürstliches Hohenlohesches Patrimonial Gericht,y,ruled on; no longer proposed by the translator
011fa056,oe1bu14526-011,1,tähigkeit,Fähigkeit,y,ruled on; no longer proposed by the translator
3b8f6d66,oe1bu14526-011,1,Erſthauen,Erschienen,y,ruled on; no longer proposed by the translator
f250abcb,oe1bu14526-011,1,Zuendlungen,Handlungen,y,ruled on; no longer proposed by the translator
83d93236,oe1bu14526-011,1,derer sie segen Güter,derer hiesigen Güter,derer hie sigen Güter,ruled on; no longer proposed by the translator
6ac8cb44,oe1bu14526-011,2,un merwührende guten,immerwährende Zeiten,im merwährende Zeiten,ruled on; no longer proposed by the translator
abce82e8,oe1bu14526-011,2,rechte an Einkauft geld,reicht an Einkaufsgeld,reicht an Einkaufs geld,ruled on; no longer proposed by the translator
43983c4f,oe1bu14526-011,2,welche den 2 hufen 24 Morgen,welche in 2 Hufen 24 Morgen,n,ruled on; no longer proposed by the translator
f19166b2,oe1bu14526-011,3,im zweyen naten,in zweyen Raten,y,ruled on; no longer proposed by the translator
a9fa2c23,oe1bu14526-011,4,er erhalt mich weder hütungs noch holzungs Gerechtigkeit,er erhält auch weder Hütungs- noch Holzungs-Gerechtigkeit,er erhalt auch weder hütungs noch holzungs Gerechtigkeit,ruled on; no longer proposed by the translator
b795de47,oe1bu14526-011,5,Tanne,Tonne,y,ruled on; no longer proposed by the translator
2f323f57,oe1bu14526-011,7,Viergast,verzichtet,Verzicht,ruled on; no longer proposed by the translator
759a1008,oe1bu14526-011,7,Verübungen,Vererbungen,y,ruled on; no longer proposed by the translator
7079030d,oe1bu14526-011,7,Landenau,Laudemium,y,ruled on; no longer proposed by the translator
757f950b,oe1bu14526-011,7,böser kraten,böser Krankheiten,y,ruled on; no longer proposed by the translator
73acce26,oe1bu14526-011,8,auf eigene Posten,auf eigene Kosten,y,ruled on; no longer proposed by the translator
a4016a33,oe1bu14526-011,8,uns baulichem Stande,in baulichem Stande,y,ruled on; no longer proposed by the translator
dc97637c,oe1bu14526-011,9,entfrage,entsagen,y,ruled on; no longer proposed by the translator
ac790878,oe1bu14526-011,9,anderweit mus gethan,anderweit auszuthun,n,Standard chancery phrase for re-letting a holding.
a40ab359,oe1bu14526-011,10,Einwunde einer artigen Ueberredung,Einwande einer arglistigen Ueberredung,n,ruled on; no longer proposed by the translator
990a0f08,oe1bu14526-012,1,fühigkeiten,Fähigkeiten,@3775 fühigkei -> fähigkei,Plainly Fähigkeiten (capacities); ü/ä confusion in Kurrent transcription.
b5b60e06,oe1bu14526-012,1,gewähtlicher handlungen,gewillkührlicher Handlungen,n,ruled on; no longer proposed by the translator
6df0ecc4,oe1bu14526-012,1,Förster H. George Friedrich Kammen,Kammer,@3769 Kammen -> Kammer,ruled on; no longer proposed by the translator
a38b77fb,oe1bu14526-012,2,stämtlichen,sämtlichen,y,ruled on; no longer proposed by the translator
242d98f1,oe1bu14526-012,2,keines Ackerland,reines Ackerland,y,ruled on; no longer proposed by the translator
b7c1d7fc,oe1bu14526-012,3,Erbgiuss,Erbzins,y,ruled on; no longer proposed by the translator
c03eef8c,oe1bu14526-012,3,pro Hufe ... 15 rt ... für 6 Hufen 20 Morgen 100 rthl.,—,n,ruled on; no longer proposed by the translator
d702a8dd,oe1bu14526-012,4,des Muses,des Mistes,n,ruled on; no longer proposed by the translator
6f92d484,oe1bu14526-012,4,bmar,baar,y,ruled on; no longer proposed by the translator
fb5dc1c8,oe1bu14526-012,5,sezzigen,jetzigen,y,ruled on; no longer proposed by the translator
90b85814,oe1bu14526-012,5,errschafftl.,herrschaftl.,n,ruled on; no longer proposed by the translator
659ea3b6,oe1bu14526-012,6,Frage,Kruge,y,ruled on; no longer proposed by the translator
4e77d49c,oe1bu14526-012,7,dinge gen,dagegen,da gen,ruled on; no longer proposed by the translator
d0cc5777,oe1bu14526-012,7,an sonder und Seiten verwandte,an Descendenten und Seitenverwandte,n,ruled on; no longer proposed by the translator
f1d20ada,oe1bu14526-012,8,Ueberschweinnung,Überschwemmung,@4048 Ueberschwein -> Ueberschwem,ruled on; no longer proposed by the translator
804db9ef,oe1bu14526-012,8,smagelschlag,Hagelschlag,@4047 smagel -> Hagel,Standard item in the list of perils.
c0f323c7,oe1bu14526-012,9,aus guthun,auszutun,aus zuthun,ruled on; no longer proposed by the translator
503406cb,oe1bu14526-012,11,vergelesen würden,vorgelesen worden,n,ruled on; no longer proposed by the translator
41fb27c5,oe1bu14526-013,1,Huften,Hufen,y,ruled on; no longer proposed by the translator
0895d6ac,oe1bu14526-013,2,Fünf hundert sechzig Morgen kund,Fünf hundert sechzig Morgen Land,y,ruled on; no longer proposed by the translator
960181cc,oe1bu14526-013,4,uns für jedes,und für jedes,y,ruled on; no longer proposed by the translator
bbac923e,oe1bu14526-013,4,verschriftsmäßig,vorschriftsmäßig,y,ruled on; no longer proposed by the translator
ed78be41,oe1bu14526-013,4,Err Tschachmann,Herr Tschachmann,y,ruled on; no longer proposed by the translator
f2bf39fe,oe1bu14526-014,1,stud,sind,y,ruled on; no longer proposed by the translator
12c6887e,oe1bu14526-014,1,derer sie stigen Güter,derer hiesigen Güter,derer hie sigen Güter,ruled on; no longer proposed by the translator
b65e9044,oe1bu14526-014,2,Erbgiess,Erbzinß,y,ruled on; no longer proposed by the translator
b02bec13,oe1bu14526-014,2,ForstInspekor,ForstInspector,y,ruled on; no longer proposed by the translator
d588bc85,oe1bu14526-014,3,Eintausendfung hundert,Eintausendfünfhundert,Eintausendfünf hundert,ruled on; no longer proposed by the translator
8c2d4fb5,oe1bu14526-014,3,anfinkaufsgeld,an Einkaufsgeld,@4438 anfin -> an Ein,word-division error in transcription
3e286453,oe1bu14526-014,4,§. IV. ... §. IV.,§. IV. ... §. V.,n,ruled on; no longer proposed by the translator
603213e6,oe1bu14526-014,5,solle und jede,alle und jede,y,ruled on; no longer proposed by the translator
51d44263,oe1bu14526-014,6,getrunkam,Getränk / zu trinkendes,n,ruled on; no longer proposed by the translator
782394ec,oe1bu14526-014,7,5. I,§. IX.,n,ruled on; no longer proposed by the translator
28e7b0b1,oe1bu14526-014,7,Ver straf,Verkauf,Ver kauf,ruled on; no longer proposed by the translator
f3a79e1b,oe1bu14526-014,8,vergeht,Verzicht,y,ruled on; no longer proposed by the translator
903aba15,oe1bu14526-014,9,sie bei ihren Gerechtsamen überall zu schüppen,zu schützen,@4682 schüppen -> schützen,ruled on; no longer proposed by the translator
87ad91c0,oe1bu14526-014,11,Entstagung,Entsagung,n,"stray letter; ""Entsagung"" = renunciation"
99720d19,oe1bu14526-014,12,würklich vorgelesen würden,würklich vorgelesen worden,n,ruled on; no longer proposed by the translator
f987aef7,oe1bu14526-015,1,daß auf denen ... befindliche Holz,das auf denen ... befindliche Holz,n,ruled on; no longer proposed by the translator
3d0efff6,oe1bu14526-015,1,faßtende Schulden,haftende Schulden,y,ruled on; no longer proposed by the translator
166f7a06,oe1bu14526-015,1,Bonnen,können,y,ruled on; no longer proposed by the translator
9ec5ab04,oe1bu14526-015,3,das totale der Husten,das totale der Hufen,y,ruled on; no longer proposed by the translator
dedada23,oe1bu14526-015,4,in eine Bonification,nie eine Bonification,@4893 in eine Bonification -> nie eine Bonification,ruled on; no longer proposed by the translator
68e63570,oe1bu14526-015,4,Äusstertigung,Ausfertigung,@4895 Äusster -> Ausfer,transcription corruption of the standard chancery term 'Ausfertigung' (execution/engrossment)
d6964ad3,oe1bu14526-015,4,zum Kirch-Hust 1 Morgen Mitthe,"zur Kirch-Hufe 1 Morgen, mithin",zum Kirch-Hust 1 Morgen Mithin,ruled on; no longer proposed by the translator
88ee56e0,oe1bu14526-015,5,entfügen,entsagen,y,ruled on; no longer proposed by the translator
8d803fe4,oe1bu14526-015,6,verein gelt,vereinzelt,verein zelt,ruled on; no longer proposed by the translator
8d2dc696,oe1bu14526-016,1,expedirte,expedirt,y,ruled on; no longer proposed by the translator
5a15f773,oe1bu14526-016,2,Rein zweifel,kein Zweifel,kein zweifel,ruled on; no longer proposed by the translator
3893fbae,oe1bu14526-016,2,Vorwert,Vorwerk,y,ruled on; no longer proposed by the translator
45779fa9,oe1bu14526-016,3,Verwerken,Vorwerke,@5030 Verwer -> Vorwer,ruled on; no longer proposed by the translator
e1272a0b,oe1bu14526-016,5,Hafe diensten,Hofediensten,Hofe diensten,ruled on; no longer proposed by the translator
14c1c593,oe1bu14526-016,8,wieder ... nachſtönſtg.,weder ... noch sonstige,@5183 wieder -> weder,ruled on; no longer proposed by the translator
d0cbcf42,oe1bu14526-016,11,Gruß,Zins,y,ruled on; no longer proposed by the translator
9c14592b,oe1bu14526-016,13,bei ihren Gericht sammen,bei ihren Gerechtsamen,bei ihren Gerecht samen,ruled on; no longer proposed by the translator
53427d8f,oe1bu14526-016,13,Kasten,Kosten,y,ruled on; no longer proposed by the translator
3258bedd,oe1bu14526-016,15,Lehn,Lehm,y,ruled on; no longer proposed by the translator
91968790,oe1bu14526-016,16,statt Maurer [f?]eine,Stadt-Mauersteine / Mauersteine,n,ruled on; no longer proposed by the translator
02b24566,oe1bu14526-017,1,3. dem Holländer Gottfried Damt,5. dem Holländer Gottfried Damt,n,ruled on; no longer proposed by the translator
c47f7638,oe1bu14526-017,2,Vor thelt,Vorbehalt,Vor behalt,ruled on; no longer proposed by the translator
7487201e,oe1bu14526-017,2,Eingragsgedachten,eingangsgedachten,y,ruled on; no longer proposed by the translator
5f091620,oe1bu14526-017,3,Betrühtung,Berichtigung,@5584 Betrüh -> Berich,ruled on; no longer proposed by the translator
2bc3ac09,oe1bu14526-017,5,daherheit,Sicherheit,y,ruled on; no longer proposed by the translator
45287345,oe1bu14526-017,6,Kien Stube,Kienstubben,Kien Stubben,ruled on; no longer proposed by the translator
1d0ef948,oe1bu14526-017,6,Schonungs Kläger,Schonungsschläge,Schonungs Schläge,ruled on; no longer proposed by the translator
e5c4cf9c,oe1bu14526-017,8,Später,Schäfer,y,ruled on; no longer proposed by the translator
dadb5c6c,oe1bu14526-017,8,Jünger,Dünger,y,ruled on; no longer proposed by the translator
c28cd895,oe1bu14526-017,9,Tugend,Jugend,y,ruled on; no longer proposed by the translator
42629a3e,oe1bu14526-018,3,adimirte Abschrift,vidimirte Abschrift,y,ruled on; no longer proposed by the translator
4502d5bb,oe1bu14526-018,3,den Herrn regierenden ersten Friedrich Ludwig,den Herrn regierenden Fürsten Friedrich Ludwig,y,ruled on; no longer proposed by the translator
fef01f99,oe1bu14526-018,4,keinem Bedeuten unterworfen,keinem Bedenken unterworfen,y,ruled on; no longer proposed by the translator
d4947494,oe1bu14526-018,13,um behalten,unterhalten,unter behalten,ruled on; no longer proposed by the translator
e1209309,oe1bu14526-018,13,Erst und sonstige Gebäude,Forst- und sonstige Gebäude,Forst und sonstige Gebäude,ruled on; no longer proposed by the translator
b7e87156,oe1bu14526-018,21,die Oberaufsicht über die Kosten,die Oberaufsicht über die Forsten,@6161 Kosten -> Forsten,The supervision is entrusted to the Chief Forester; cf. page 27 § 2 on supervision of the forests.
e6c6d5e6,oe1bu14526-018,22,verbothen hatten,verbethen hatten,y,ruled on; no longer proposed by the translator
4de871ab,oe1bu14526-018,22,verdällnatscht,verdollmetscht,y,ruled on; no longer proposed by the translator
65f43dc4,oe1bu14526-018,22,Vogelesen,Vorgelesen,y,ruled on; no longer proposed by the translator
340dc0f6,oe1bu14526-018,24,keines geleidigt werden wird,keines gekündigt werden wird,y,ruled on; no longer proposed by the translator
fd84d95a,oe1bu14526-018,27,die Interſconten hiervon zu beschehen,die Interessenten hiervon zu bescheiden,y,ruled on; no longer proposed by the translator
4c0cce59,oe1bu14526-019,1,Vorstrath,Forstrath,y,ruled on; no longer proposed by the translator
bbf4ddd5,oe1bu14526-019,1,der Stadt und fand Gemeinden,der Stadt und Land Gemeinden,y,ruled on; no longer proposed by the translator
3dfa5d34,oe1bu14526-019,1,Betschef dorf Staluhn,"Betsche, Dorf Staluhn",Betsche dorf Staluhn,ruled on; no longer proposed by the translator
930a155b,oe1bu14526-019,2,am Nachigen der Stadt,im Nahmen der Stadt,y,ruled on; no longer proposed by the translator
876d19f7,oe1bu14526-019,2,Myłnkiewicz,Młynkiewicz,y,ruled on; no longer proposed by the translator
dd4f0c01,oe1bu14526-019,3,Noch wechselseitiger gepflogenen Unterhandlungen,Nach wechselseitig gepflogenen Unterhandlungen,Nach wechselseitiger gepflogenen Unterhandlungen,ruled on; no longer proposed by the translator
28f6e2e9,oe1bu14526-019,3,Löden,Lehden,y,ruled on; no longer proposed by the translator
6656a4cf,oe1bu14526-019,9,gehoch sind die Gemeinden verbunden,jedoch sind die Gemeinden verbunden,y,ruled on; no longer proposed by the translator
8971e7ab,oe1bu14526-019,9,Michadi,Michaelis,Michaeli,ruled on; no longer proposed by the translator
067374c1,oe1bu14526-019,11,deren Nachfolge im Besitze,deren Nachfolger im Besitze,y,ruled on; no longer proposed by the translator
325b383f,oe1bu14526-019,13,Einstands Quanto,Erbstands Quanto,y,ruled on; no longer proposed by the translator
c41d58d0,oe1bu14526-019,17,Jan Chmura,Jan Chmara,y,ruled on; no longer proposed by the translator
85747932,oe1bu14526-020,1,Vorwegs Wirtschafts Gebäude,Vorwerks Wirtschafts Gebäude,y,ruled on; no longer proposed by the translator
5d80d90e,oe1bu14526-020,1,gebohren,gebahren,y,ruled on; no longer proposed by the translator
87ab6073,oe1bu14526-021,1,Meierowicz / Meierowitz,one consistent spelling,n,"The party's name appears as Meierowicz, Meierowitz and (p. 4) Maierowitz; retained as written."
f711db4a,oe1bu14526-021,2,auf George mithin d 23ten April c. ... und zwar auf George mithin den 23ten Apri,single occurrence of the date clause,n,"The date formula is duplicated in the sentence, likely a scribal dittography; retained as written."
e777572b,oe1bu14526-023,1,137 rl. Stempel - Papier,137 rt. Stempel-Papier,n,ruled on; no longer proposed by the translator
b59329cd,oe1bu14526-023,2,verkaufenden,verkaufen dem,@7001 verkaufenden -> verkaufen dem,ruled on; no longer proposed by the translator
9edf5370,oe1bu14526-023,2,Senn,Seen (lakes),Seen,ruled on; no longer proposed by the translator
916430b1,oe1bu14526-023,9,im holzungsrecht,ein Holzungsrecht,ein holzungsrecht,ruled on; no longer proposed by the translator
ca91c39a,oe1bu14526-023,13,uf dem Herrn Leixner,an den Herrn Leixner,@7288 uf dem Herrn Leixner -> an den Herrn Leixner,ruled on; no longer proposed by the translator
ba8cd7f2,oe1bu14526-023,18,und zu ge sor,und Zubehör,und zu be hör,ruled on; no longer proposed by the translator
2590eb0d,oe1bu14526-023,18,sach lübl.,hochlöbl.,@7393 sach lübl. -> hochlöbl.,ruled on; no longer proposed by the translator
b63a846b,oe1bu14526-023,19,Durchlösung,Durchlesung,y,ruled on; no longer proposed by the translator
342789f5,oe1bu14526-023,19,voll gegen habe,vollzogen habe,voll zogen habe,ruled on; no longer proposed by the translator
c62905c0,oe1bu14526-023,20,Tauf und rttl.,Tausend rttl.,@7455 Tauf und rttl. -> Tausend rttl.,ruled on; no longer proposed by the translator
8220b8ce,oe1bu14526-023,21,Anfugt,befugt,y,ruled on; no longer proposed by the translator
ca7e6877,oe1bu14526-023,22,von Persen,von Person,n,"parallel formula on p.24 reads ""den ich von Person wohl kenne"""
5831c824,oe1bu14526-023,23,auf Assessor,auch Assessor,y,ruled on; no longer proposed by the translator
b2aa2883,oe1bu14526-023,25,nach selbst eigener Durchlösung,Durchlesung,nach selbst eigener Durchlesung,ruled on; no longer proposed by the translator
9ca2f56a,oe1bu14526-024,2,Aufsch,Aufsicht,y,ruled on; no longer proposed by the translator
7e0054a1,oe1bu14526-024,2,Betriestädtischer Gewerbe,Betrieb städtischer Gewerbe,n,"Word-division error typical of Kurrent transcription; yields the expected sense 'pursuit of urban trades', contrasted with agriculture."
0806cb34,oe1bu14526-024,2,zu unbemittelsind,zu unbemittelt sind,n,Run-together of 'unbemittelt' and 'sind'.
43fb32f0,oe1bu14526-024,2,Goldsummen,Geldsummen,y,ruled on; no longer proposed by the translator
d3995575,oe1bu14526-024,2,Aufsch die Devastation,Aufsicht die Devastation,n,ruled on; no longer proposed by the translator
985996d2,oe1bu14526-025,1,Pandschillingsbesitzers,Pfandschillingsbesitzers,n,ruled on; no longer proposed by the translator
fcd9b6bc,oe1bu14526-025,1,Vorwerbs Feld / Vorwerbsgebäuden,Vorwerks Feld / Vorwerksgebäuden,@7714 Vorwerbs -> Vorwerks ; @7724 Vorwerbsgebäuden -> Vorwerksgebäuden,"'Vorwerb' is not a word; 'Vorwerk' (demesne farm) is plainly intended, and appears with -b twice, suggesting a systematic b/k misreading."
9d05fa8a,oe1bu14526-025,1,Accepation,Acceptation,y,ruled on; no longer proposed by the translator
75115ffa,oe1bu14526-025,2,Säge blöde,Sägeblöcke,Säge blöcke,ruled on; no longer proposed by the translator
d1ca4693,oe1bu14526-025,2,Laufere,Käufere,y,ruled on; no longer proposed by the translator
5c34ec62,oe1bu14526-025,2,anerbaufftes,anerkaufftes,y,ruled on; no longer proposed by the translator
63a04362,oe1bu14526-025,2,Vorwertz,Vorwerk,y,ruled on; no longer proposed by the translator
68b049d6,oe1bu14526-025,2,Kaff,Raff,y,ruled on; no longer proposed by the translator
aca2b096,oe1bu14526-025,2,zu Baltzer,zu Balken,y,ruled on; no longer proposed by the translator
16e7d6c8,oe1bu14526-025,2,Parrer,Sparren,y,ruled on; no longer proposed by the translator
10d71414,oe1bu14526-025,3,als zeige,als Zeuge,y,ruled on; no longer proposed by the translator
f6c4f73d,oe1bu14526-025,3,Glenth,Glenck,y,ruled on; no longer proposed by the translator
6aed47ba,oe1bu14526-025,3,Samuel Luke,Samuel Lucke,y,ruled on; no longer proposed by the translator
1d8dc94d,oe1bu14526-026,2,Schwürig: Peiten,Schwürigkeiten,Schwürig: keiten,ruled on; no longer proposed by the translator
b4118051,oe1bu14526-026,3,Dominis,Dominio,y,ruled on; no longer proposed by the translator
02861cc5,oe1bu14526-026,4,So Hochfürstl. Durchlaucht,Sr. Hochfürstl. Durchlaucht,@7872 So -> Sr.,ruled on; no longer proposed by the translator
a446961b,oe1bu14526-027,1,Tromczin,Trąbczyn,y,ruled on; no longer proposed by the translator
4e7b016a,oe1bu14526-027,2,einer mehr zu nimt,immer mehr zunimt,immer mehr zu nimt,ruled on; no longer proposed by the translator
877eece9,oe1bu14526-027,2,Pikantri,Pikanterie,y,ruled on; no longer proposed by the translator
48951158,oe1bu14526-027,3,Art,hat,y,ruled on; no longer proposed by the translator
f2a4e308,oe1bu14526-028,1,Kaufläßigen,Kauflustigen,y,ruled on; no longer proposed by the translator
70f58a9d,oe1bu14526-028,2,anländern,Hauländern,y,ruled on; no longer proposed by the translator
32751466,oe1bu14526-029,1,Sie Wir,Die wir,Die Wir,ruled on; no longer proposed by the translator
f552ecf6,oe1bu14526-030,1,Rząkowski,Rządkowski,n,The holding's other documents give the name as Rządkowski; a lost 'd' is a common Kurrent loss. Not folded into the translation.
605150a7,oe1bu14526-030,2,selbiverbunden seyn,selbige verbunden seyn,n,Probably 'sollen selbige verbunden seyn' — 'the same shall be bound'.
eafffe75,oe1bu14526-030,2,Unsermn hochl. Successorum,Unserer hochlöbl. Successorum,y,ruled on; no longer proposed by the translator
0b13f325,oe1bu14526-031,1,Siqnificamus tenere praesens,Significamus tenore praesentium,y,ruled on; no longer proposed by the translator
29714521,oe1bu14526-031,1,in Archivo nestro,in Archivo nostro,y,ruled on; no longer proposed by the translator
681f3937,oe1bu14526-031,1,informa probante extradimandavimus,in forma probante extradi mandavimus,n,ruled on; no longer proposed by the translator
11fbe63b,oe1bu14526-031,1,Cujus Senes Sequitur,Cujus tenor sequitur,Cujus tenor Sequitur,ruled on; no longer proposed by the translator
7811637c,oe1bu14526-031,1,Wiadomo czeniemy,Wiadomo czyniemy,y,ruled on; no longer proposed by the translator
0bb98723,oe1bu14526-031,1,Klucza naszego Pszczeskiego,Klucza naszego Pszczewskiego,n,ruled on; no longer proposed by the translator
feb3c413,oe1bu14526-031,1,Ś. Jana Chrziciela,Ś. Jana Chrzciciela,y,ruled on; no longer proposed by the translator
3489cf24,oe1bu14526-031,1,do Gmini,do Gminy,y,ruled on; no longer proposed by the translator
