letter,page,line,next_line,mark,head,tail,joined,decision,confidence,reason,crosses_page,joined_corpus,joined_dwds,head_corpus,head_dwds,tail_corpus,tail_dwds,context
2,1,44,45,¬,re,girenden,regirenden,join,high,joined form occurs elsewhere in this corpus,False,2,,5,,1,,deiner hochfürstlichen Durchlaucht des re¬ || girenden Herrn Fürsten zu Hohenlo¬
6,11,1387,1388,¬,nachste,hend,nachstehend,join,high,joined form occurs elsewhere in this corpus,False,9,,0,,2,,chen der Genehmigung nachste¬ || hend eigenhändig unterschrie¬
6,11,1388,1389,¬,unterschrie,bei,unterschriebei,join,high,head is not a word on its own,False,0,0,0,31,65,,hend eigenhändig unterschrie¬ || bei und unterzeichnet.
6,11,1400,1401,¬,hochwohl,gebohren,hochwohlgebohren,join,high,head is not a word on its own,False,0,0,0,23,1,,Friedrich August von Triebenfeld hochwohl¬ || gebohren auf Schweinern pp. hierdurch ausd
6,11,1403,1404,¬,zuge,porigen,zugeporigen,split,high,joined form unattested; both halves are real words,False,0,0,0,3709,1,1159,e Angelegenheiten im Betreff der mir zuge¬ || porigen in Südpreußen im Kalischen Departe
6,11,1405,1406,¬,Gü,tern,Gütern,join,high,joined form occurs elsewhere in this corpus,False,12,,1,,3,,"legenen Zagorowo Wittow und Trąbczyner Gü¬ || tern, sie mögen eine Dismembration oder Ka"
6,11,1415,1417,,Regierung,Regirung,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,Regierung || Regirung zu Kalisch und bei
6,12,1418,1419,¬,an,zuzeigen,anzuzeigen,join,high,joined form occurs elsewhere in this corpus,False,1,,215,,1,," andern behörden zu bitten, und respet an¬ || zuzeigen, und alle andere erforderliche Ge"
6,12,1422,1423,¬,neh,men,nehmen,join,high,joined form occurs elsewhere in this corpus,False,22,,0,,10,,"zu bezalen, dergleichen in Empfang zu neh¬ || men und darüber zu quittiren, meine dasige"
6,12,1425,1426,¬,dienst,leistung,dienstleistung,join,high,joined form occurs elsewhere in this corpus,False,1,,3,,4,,"hle zu erteilen, ihr verhalten und dienst¬ || leistung zu untersuchen, und wenn er solch"
6,12,1430,1431,¬,Ange,legenheiten,Angelegenheiten,join,high,joined form occurs elsewhere in this corpus,False,2,,0,,1,,und frey bey allen Behörden und Ange¬ || legenheiten so zu handeln wie er es für gu
6,12,1433,1434,¬,Be,vollmächtigter,Bevollmächtigter,join,high,joined form occurs elsewhere in this corpus,False,17,,11,,4,,finden sollte. Was nun gedachter mein Be¬ || vollmächtigter vermöge dieses erhaltenen
6,12,1436,1437,¬,un,verbrüchlich,unverbrüchlich,join,high,joined form occurs elsewhere in this corpus,False,4,,1,,3,,"zu genehmigen und darüber dergestallt un¬ || verbrüchlich zu halten, als ob ich es selb"
6,13,1449,1450,¬,Wäp,pens,Wäppens,split,high,joined form unattested; both halves are real words,False,0,19,0,3815,1,22331,und durch Beydrückung meines Wäp¬ || pens bekräftiget. Er geschehen im Guhrwitz
6,13,1450,1451,¬,Guhrwitz,schen,Guhrwitzschen,join,high,joined form occurs elsewhere in this corpus,False,1,,1,,3,,ens bekräftiget. Er geschehen im Guhrwitz¬ || schen Justiz Amte bey Breslau den 19. Febr
6,13,1455,1456,¬,unter,schriebenen,unterschriebenen,join,high,joined form occurs elsewhere in this corpus,False,6,,67,,2,,aß Er durchlaucht der regirende dem unter¬ || schriebenen Justiz Amte von Person sehr wo
6,13,1456,1457,¬,wohlbekann,te,wohlbekannte,join,high,joined form occurs elsewhere in this corpus,False,1,,0,,13,,en Justiz Amte von Person sehr wohlbekann¬ || te und völlig Dispositions fähige Fürst un
6,13,1463,1464,¬,ge,richtete,gerichtete,join,high,joined form occurs elsewhere in this corpus,False,1,,6,,1,,ges und Forstrath Herrn v. Triebenfeld ge¬ || richtete General Vollmacht dato vor uns in
6,13,1464,1465,¬,unse,rer,unserer,join,high,joined form occurs elsewhere in this corpus,False,9,,0,,2,,"te General Vollmacht dato vor uns in unse¬ || rer zuziehung errichtet, sich zum Wörte"
6,14,1486,1487,¬,aus,gefertiget,ausgefertiget,join,high,joined form occurs elsewhere in this corpus,False,4,,86,,1,,siegels und gewöhnlichen Unterschrift aus¬ || gefertiget. Geschehen Allexandrien den 28 
7,1,1505,1506,¬,Hohen,lohe,Hohenlohe,join,high,joined form occurs elsewhere in this corpus,False,90,,1,,6,,"Pełnomocnikiem JO. Xcia Jmci Hohen¬ || lohe Ingelfingen, Wnym Wojennym"
7,1,1518,1519,¬,hie,sigen,hiesigen,join,high,joined form occurs elsewhere in this corpus,False,25,,2,,3,,"Fürsten zu Hohenlohe Ingelfingen hie¬ || sigen Erb und Gerichtsherrn, durch"
7,1,1526,1527,¬,Zustan,de,Zustande,join,high,joined form occurs elsewhere in this corpus,False,8,,0,,16,,Comparenten befinden sich in dem Zustan¬ || de gerichtliche handlungen gültig zu
7,1,1529,1530,¬,Erb,pachts,Erbpachts,join,high,joined form occurs elsewhere in this corpus,False,9,,32,,2,,und wohlbedächtig nachstehenden Erb¬ || pachts Contract zum Protocoll
7,2,1533,1534,¬,Wal,de,Walde,join,high,joined form occurs elsewhere in this corpus,False,2,,0,,16,,in dem bey Trąbczyn belegenen Wal¬ || de dem Gottlieb Sarre 1 1/2 Hufen schreibe
7,2,1538,1539,¬,die,ses,dieses,join,high,joined form occurs elsewhere in this corpus,False,93,,604,,11,,"gerechnet, wustes Land von Johanni die¬ || ses jezigen Jahres ab, auf immerwä¬"
7,2,1539,1540,¬,immerwä,rende,immerwärende,join,high,head is not a word on its own,False,0,0,0,0,2,,"ses jezigen Jahres ab, auf immerwä¬ || rende Zeiten in Erbpacht."
7,2,1541,1542,¬,Mag,deburgisch,Magdeburgisch,join,high,joined form occurs elsewhere in this corpus,False,19,,3,,5,,"er Gottlieb Sarre zahlet für die Hufe Mag¬ || deburgisch 100 rt. schreibe Einhundert,"
7,2,1551,1552,¬,Be,sitze,Besitze,join,high,joined form occurs elsewhere in this corpus,False,16,,11,,2,,für sich und seine Nachfolger im Be¬ || sitze dieser Stelle verbindlich von
7,3,1566,1567,¬,be,richtiget,berichtiget,join,high,joined form occurs elsewhere in this corpus,False,8,,11,,2,,zur herrschaftlichen Casse be¬ || richtiget.
7,3,1575,1576,¬,schrei,be,schreibe,join,high,joined form occurs elsewhere in this corpus,False,49,,0,,11,,Johanni 1809 mit 22 rt 12 gg schrei¬ || be zwey und zwanzig Reichstha¬
7,3,1576,1577,¬,Reichstha,ler,Reichsthaler,join,high,joined form occurs elsewhere in this corpus,False,38,,0,,6,,"be zwey und zwanzig Reichstha¬ || ler, zwölf gute groschen er¬"
7,3,1577,1578,¬,er,legt,erlegt,join,high,joined form occurs elsewhere in this corpus,False,11,,57,,2,,"ler, zwölf gute groschen er¬ || legt werden muß."
7,3,1582,1584,,ist,ist,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,"ist || ist, es mag daßelbe viel oder wenig"
7,4,1585,1586,¬,die,ses,dieses,join,high,joined form occurs elsewhere in this corpus,False,93,,604,,11,,"betragen, wird von Johanni ab die¬ || ses Jahres verzinset, in dem sich"
7,5,1606,1607,¬,ver,bleibet,verbleibet,join,high,joined form occurs elsewhere in this corpus,False,1,,3,,3,,"Das abzuzahlende Capital ver¬ || bleibet, ein Eigenthum der Grund¬"
7,5,1607,1608,¬,Grund,herrschaft,Grundherrschaft,join,high,joined form occurs elsewhere in this corpus,False,27,,44,,39,,"bleibet, ein Eigenthum der Grund¬ || herrschaft, und findet diese Ab¬"
7,5,1608,1609,¬,Ab,lösung,Ablösung,join,high,joined form occurs elsewhere in this corpus,False,3,,16,,1,,"herrschaft, und findet diese Ab¬ || lösung des Erbzinses nur in Absicht"
7,5,1610,1611,¬,häl,fte,hälfte,join,high,joined form occurs elsewhere in this corpus,False,41,,0,,1,,"der ersten hälfte statt, die zweite häl¬ || fte mit funfzehen Reichsthaler"
7,5,1613,1614,¬,ver,mindert,vermindert,join,high,joined form occurs elsewhere in this corpus,False,2,,3,,3,,"und kann nie erhöhet, oder ver¬ || mindert werden."
7,5,1617,1618,¬,künf,tigen,künftigen,join,high,joined form occurs elsewhere in this corpus,False,9,,0,,3,,nimmt Erbpächter für jezt und künf¬ || tigen Zeiten immer wärend die
7,5,1619,1620,¬,tref,fende,treffende,join,high,"joined form attested in DWDS (309,879 hits)",False,0,309879,1,,1,,auf diese anderthalb hufen tref¬ || fende gehauenten Königlichen und
7,5,1630,1632,,hiezu,hiezu,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,"hiezu || hiezu weder jezt, noch in die Zukunft"
7,6,1635,1636,¬,ge,sammte,gesammte,join,high,joined form occurs elsewhere in this corpus,False,1,,6,,1,,anderthalb hufen befindliche ge¬ || sammte Holtz ohne Ausnahme ei¬
7,6,1636,1637,¬,ei,genthümlich,eigenthümlich,join,high,joined form occurs elsewhere in this corpus,False,11,,1,,2,,sammte Holtz ohne Ausnahme ei¬ || genthümlich.
7,6,1646,1647,¬,herrschaftli,chen,herrschaftlichen,join,high,joined form occurs elsewhere in this corpus,False,12,,0,,9,,oder Hütung in denen herrschaftli¬ || chen Wäldern und Feldern
7,6,1652,1654,,Wenn,Wenn,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,Wenn || Wenn durch ihn oder seine Leute frem¬
7,7,1654,1655,¬,frem,des,fremdes,join,high,joined form occurs elsewhere in this corpus,False,4,,0,,272,,Wenn durch ihn oder seine Leute frem¬ || des Geträncke eingebracht wird
7,7,1657,1658,¬,Funf,Reichsthaler,FunfReichsthaler,join,high,head is not a word on its own,False,0,0,0,557,38,,mahl in eine Straffe von Funf¬ || Reichsthaler für jede Tonne Bier¬
7,7,1658,1659,¬,Bier,und,Bierund,split,high,joined form unattested; both halves are real words,False,0,40,18,1677278,1506,1133103472,Reichsthaler für jede Tonne Bier¬ || und einen Reichsthaler für je¬
7,7,1659,1660,¬,je,den,jeden,join,high,joined form occurs elsewhere in this corpus,False,31,,1,,482,,"und einen Reichsthaler für je¬ || den Garniec Brandtwein, welche"
7,7,1665,1666,¬,an,weiset,anweiset,join,high,"joined form attested in DWDS (1,074,664 hits)",False,0,1074664,215,,1,,"wo die Gutsherrschaft ihn an¬ || weiset, sein Getreide mahlen"
7,7,1671,1672,¬,je,doch,jedoch,join,high,joined form occurs elsewhere in this corpus,False,59,,1,,8,,"immer gänzlich befreyet, je¬ || doch bleibet derselbe der Jurisdic"
7,7,1673,1674,¬,un,terworden,unterworden,split,high,joined form unattested; both halves are real words,False,0,60,1,594768,1,0,tions des hiesigen Dominy un¬ || terworden.
7,8,1681,1682,¬,ei,nem,einem,join,high,joined form occurs elsewhere in this corpus,False,15,,1,,2,,veräußern es muß aber bei ei¬ || nem jedesmahligen Verkauf oder
7,8,1685,1686,¬,Veräuße,rung,Veräußerung,join,high,"joined form attested in DWDS (117,459 hits)",False,0,117459,0,,4,,"dieser der Consens zu jeder Veräuße¬ || rung eingeholet werden, in dem sich"
7,8,1692,1693,¬,je,de,jede,join,high,joined form occurs elsewhere in this corpus,False,43,,1,,16,,"Nachfolger im Besitz auf alle und je¬ || de Remissionen bei Unglücksfällen, sel¬"
7,8,1693,1694,¬,sel,bige,selbige,join,high,joined form occurs elsewhere in this corpus,False,13,,1,,1,,"de Remissionen bei Unglücksfällen, sel¬ || bige mögen durch Feuer von Himmel"
7,8,1696,1697,¬,Ueber,schwemmung,Ueberschwemmung,join,high,joined form occurs elsewhere in this corpus,False,1,,3,,2,,"Mißwachs Viehsterben, Ueber¬ || schwemmung, Krieg und Pest, oder"
7,8,1701,1702,¬,we,der,weder,join,high,joined form occurs elsewhere in this corpus,False,20,,1,,698,,und soll bei eintretenden Fällen we¬ || der eine Bonification nach Er
7,8,1703,1705,,laß,laß,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,laß || laß von dem Erbzinse statt
7,9,1715,1716,¬,be,richtigen,berichtigen,join,high,joined form occurs elsewhere in this corpus,False,23,,11,,7,,sein Besitz titul für sich zu be¬ || richtigen laßen kann
7,9,1720,1721,¬,Ver,bindlichkeiten,Verbindlichkeiten,join,high,joined form occurs elsewhere in this corpus,False,4,,3,,3,,diesem Contract enthaltenen Ver¬ || bindlichkeiten nachkommen wer¬
7,9,1721,1722,¬,wer,den,werden,join,high,joined form occurs elsewhere in this corpus,False,143,,0,,482,,"bindlichkeiten nachkommen wer¬ || den, versprechen Sr Hochfürstlichen"
7,9,1725,1727,,und,und,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,und || und gegen jedermanns real Anspruch
7,10,1728,1729,¬,Erb,pächter,Erbpächter,join,high,joined form occurs elsewhere in this corpus,False,85,,32,,46,,"zu vertreten, Sollte aber Erb¬ || pächter oder deßen Nachfolger mit"
7,10,1739,1740,¬,einge,zahlten,eingezahlten,join,high,"joined form attested in DWDS (39,065 hits)",False,0,39065,0,,1,,seines ganzen Rechts und einge¬ || zahlten Einkaufs Geldes ver¬
7,10,1740,1741,¬,ver,lustig,verlustig,join,high,joined form occurs elsewhere in this corpus,False,4,,3,,1,,zahlten Einkaufs Geldes ver¬ || lustig
7,10,1743,1744,¬,un,verbrüchlich,unverbrüchlich,join,high,joined form occurs elsewhere in this corpus,False,4,,1,,3,,"Erbpachts Contract fest und un¬ || verbrüchlich einzuhalten, sie"
7,10,1747,1749,,statt,statt,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,"statt || statt findenden Ausflüchten,"
7,11,1754,1755,¬,ver,abredeter,verabredeter,join,high,joined form occurs elsewhere in this corpus,False,1,,3,,1,,"Furcht, Zwangs anders ver¬ || abredeter, als verschrie¬"
7,11,1755,1756,¬,verschrie,bener,verschriebener,join,high,joined form occurs elsewhere in this corpus,False,3,,0,,4,,"abredeter, als verschrie¬ || bener oder nicht recht verstan¬"
7,11,1756,1757,¬,verstan,dener,verstandener,join,high,joined form occurs elsewhere in this corpus,False,1,,0,,3,,"bener oder nicht recht verstan¬ || dener Sachen, sie tragen an¬"
7,11,1757,1758,¬,an,diesen,andiesen,split,high,joined form unattested; both halves are real words,False,0,34,215,203629291,52,216259470,"dener Sachen, sie tragen an¬ || diesen Contract gerichtlich aus¬"
7,11,1758,1759,¬,aus,zufertigen,auszufertigen,join,high,"joined form attested in DWDS (10,917 hits)",False,0,10917,86,,2,,"diesen Contract gerichtlich aus¬ || zufertigen, und haben sich"
7,11,1772,1774,,przy,przycisnieniem,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,przy || przycisnieniem Sądowey Pieczęci
7,12,1777,1778,¬,Zagurow,skiey,Zagurowskiey,join,high,head is not a word on its own,False,0,0,0,0,1,,Sąd Patrimonialny Maiętnosći Zagurow¬ || skiey
8,1,1788,1789,¬,Erbpachts,Contract,ErbpachtsContract,split,high,joined form unattested; both halves are real words,False,0,0,9,0,99,5186,"andrer Seits, nachstehender Erbpachts¬ || Contract, über eine hufe Magdebur¬"
8,1,1789,1790,¬,Magdebur,gisch,Magdeburgisch,join,high,joined form occurs elsewhere in this corpus,False,19,,1,,4,,"Contract, über eine hufe Magdebur¬ || gisch, Land im Trąbczyner Walde be¬"
8,1,1790,1791,¬,be,legen,belegen,join,high,joined form occurs elsewhere in this corpus,False,6,,11,,5,,"gisch, Land im Trąbczyner Walde be¬ || legen, geschlossen, und bei uns ge¬"
8,1,1791,1792,¬,ge,richtlich,gerichtlich,join,high,joined form occurs elsewhere in this corpus,False,16,,6,,1,,"legen, geschlossen, und bei uns ge¬ || richtlich verlautbart worden."
8,1,1794,1795,¬,unter,schriebener,unterschriebener,join,high,joined form occurs elsewhere in this corpus,False,3,,67,,4,,"Es erschienen, die denn unter¬ || schriebener Justitiario genau¬"
8,1,1795,1796,¬,genau,bekannte,genaubekannte,split,high,joined form unattested; both halves are real words,False,0,0,2,16551436,6,12247027,"schriebener Justitiario genau¬ || bekannte Personen, als"
8,1,1797,1798,¬,Rath,v,Rathv,split,high,joined form unattested; both halves are real words,False,0,0,45,107313,96,2232952,"1., Herr Krieges und Forst Rath¬ || v Triebenfeld als General"
8,1,1799,1800,¬,Durch,laucht,Durchlaucht,join,high,joined form occurs elsewhere in this corpus,False,130,,84,,18,,Bevollmächtigter Sr. Durch¬ || laucht des regierenden
8,1,1801,1802,¬,Hohen,lohe,Hohenlohe,join,high,joined form occurs elsewhere in this corpus,False,90,,1,,6,,"Herrn Fürsten zu Hohen¬ || lohe Ingelfingen, hiesigen"
8,1,1804,1805,¬,Voll,macht,Vollmacht,join,high,joined form occurs elsewhere in this corpus,False,24,,0,,18,,durch beiliegende Voll¬ || macht legitimirt einer
8,1,1808,1809,¬,Szyma,nowicer,Szymanowicer,join,high,head is not a word on its own,False,0,0,0,50,1,,"Friedenberger aus Szyma¬ || nowicer hauland, an¬"
8,1,1809,1810,¬,an,derer,anderer,join,high,joined form occurs elsewhere in this corpus,False,7,,215,,12,,"nowicer hauland, an¬ || derer theils."
8,1,1815,1816,¬,frey,wil,freywil,split,high,joined form unattested; both halves are real words,False,0,0,36,329964,1,120951,und declariren frey¬ || wil
8,2,1819,1820,¬,Erbpachts,Contract,ErbpachtsContract,split,high,joined form unattested; both halves are real words,False,0,0,9,0,99,5186,nachstehenden Erbpachts¬ || Contract zum Protocoll.
8,2,1824,1825,¬,Frieden,berger,Friedenberger,join,high,joined form occurs elsewhere in this corpus,False,7,,0,,1,,dem Christian Frieden¬ || berger eine Hufe schreibe
8,2,1828,1829,¬,Mor,gen,Morgen,join,high,joined form occurs elsewhere in this corpus,False,46,,0,,40,,die Hufe und jeder Mor¬ || gen zu Einhundert und
8,2,1831,1832,¬,Trąbczy,ner,Trąbczyner,join,high,joined form occurs elsewhere in this corpus,False,14,,0,,5,,"gerechnet, um Trąbczy¬ || ner Walde belegen"
8,2,1851,1853,,macht,macht,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,macht || macht sich hiedurch für
8,3,1859,1860,¬,schrei,be,schreibe,join,high,joined form occurs elsewhere in this corpus,False,49,,0,,11,,dreyßig Rthaler schrei¬ || be dreyßig Rthaler
8,3,1861,1862,¬,Domi,nium,Dominium,join,high,joined form occurs elsewhere in this corpus,False,5,,0,,2,,an das hiesige Domi¬ || nium zu bezahlen und
8,3,1866,1867,¬,Way,nachten,Waynachten,join,high,joined form occurs elsewhere in this corpus,False,2,,0,,4,,einen hälfte im Way¬ || nachten und mit der
8,3,1874,1875,¬,unur,baren,unurbaren,join,high,joined form occurs elsewhere in this corpus,False,2,,0,,2,,Von dem ganz unur¬ || baren Acker er¬
8,3,1875,1876,¬,er,hält,erhält,join,high,joined form occurs elsewhere in this corpus,False,14,,57,,7,,baren Acker er¬ || hält Erbpächter drey
8,3,1878,1879,¬,ver,flossenen,verflossenen,join,high,"joined form attested in DWDS (19,429 hits)",False,0,19429,3,,1,,von Martini des ver¬ || flossenen Jahres an¬
8,3,1879,1880,¬,an,fangen,anfangen,join,high,joined form occurs elsewhere in this corpus,False,2,,215,,1,,flossenen Jahres an¬ || fangen und auf
8,3,1883,1884,¬,Erb,zinß,Erbzinß,join,high,joined form occurs elsewhere in this corpus,False,24,,32,,7,,halbjährige Erb¬ || zinß auf Way¬
8,3,1884,1885,¬,Way,machten,Waymachten,split,high,joined form unattested; both halves are real words,False,0,0,0,364943,1,67278827,zinß auf Way¬ || machten 1809 mit 15 rt
8,4,1900,1901,¬,ver,zinset,verzinset,join,high,joined form occurs elsewhere in this corpus,False,2,,3,,1,,"dieses Jahres ver¬ || zinset, indem sich"
8,4,1909,1910,¬,denfest,gesagten,denfestgesagten,join,high,head is not a word on its own,False,0,0,0,0,1,,"es frey, denfest¬ || gesagten Erbzinß"
8,4,1919,1920,-,hun,dert,hundert,join,high,joined form occurs elsewhere in this corpus,False,45,,0,,7,,"wo ihm, denn für jede hun- || dert Rthaler fünf Rthaler von"
8,4,1921,1923,,dem,dem,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,dem || dem Erbgieße jährlich
8,5,1925,1926,¬,ab,zugühlende,abzugühlende,split,high,joined form unattested; both halves are real words,False,0,0,16,49097723,1,0,"werden, das ab¬ || zugühlende Capital"
8,5,1927,1928,¬,Eigen,thum,Eigenthum,join,high,joined form occurs elsewhere in this corpus,False,17,,1,,1,,verbleibt ein Eigen¬ || thum der Grund¬
8,5,1928,1929,¬,Grund,herrschaft,Grundherrschaft,join,high,joined form occurs elsewhere in this corpus,False,27,,44,,39,,thum der Grund¬ || herrschaft und fin¬
8,5,1929,1930,¬,fin,det,findet,join,high,joined form occurs elsewhere in this corpus,False,5,,1,,1,,herrschaft und fin¬ || det diese Ablösung
8,5,1938,1939,¬,er,höhet,erhöhet,join,high,joined form occurs elsewhere in this corpus,False,6,,57,,2,,und könne nie er¬ || höhet oder ver¬
8,5,1939,1940,¬,ver,mindert,vermindert,join,high,joined form occurs elsewhere in this corpus,False,2,,3,,3,,höhet oder ver¬ || mindert werden.
8,6,1966,1967,¬,er,hält,erhält,join,high,joined form occurs elsewhere in this corpus,False,14,,57,,7,,"sonstige Bauhelfe er¬ || hält, jedoch gehört, ihm"
8,6,1970,1971,¬,ei,genthümlich,eigenthümlich,join,high,joined form occurs elsewhere in this corpus,False,11,,1,,2,,holz ohne Ausnahme ei¬ || genthümlich.
8,6,1975,1976,¬,Repa,raturen,Reparaturen,join,high,joined form occurs elsewhere in this corpus,False,2,,0,,1,,"alle künftige Repa¬ || raturen, und neue"
8,6,1979,1980,¬,bewür,ken,bewürken,join,high,joined form occurs elsewhere in this corpus,False,4,,0,,4,,oder hülfe bewür¬ || ken
8,6,1982,1983,¬,be,sezzung,besezzung,join,high,joined form occurs elsewhere in this corpus,False,1,,11,,1,,Ausserhalb seiner be¬ || sezzung hat Erbkäich
8,6,1992,1994,,der,der,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,der || der herrschaftlichen Braue¬
8,7,1994,1995,¬,Braue,rey,Brauerey,join,high,joined form occurs elsewhere in this corpus,False,4,,0,,1,,der herrschaftlichen Braue¬ || rey und Brennerey
8,7,2006,2007,¬,Brandt,wein,Brandtwein,join,high,joined form occurs elsewhere in this corpus,False,11,,1,,5,,"jeden Garniec Brandt¬ || wein, welche Strafe"
8,8,2042,2043,¬,derschimmt,oder,derschimmtoder,join,high,head is not a word on its own,False,0,0,0,0,161,,groschen derschimmt¬ || oder Tausch Gelder
8,8,2045,2046,¬,Grundherr,um,Grundherrum,split,high,joined form unattested; both halves are real words,False,0,0,3,15478,35,141016045,die Grundherr¬ || um
8,8,2048,2049,¬,Cons,ens,Consens,join,high,joined form occurs elsewhere in this corpus,False,13,,0,,1,,nen dieser der Cons¬ || ens zu jeder Ver¬
8,8,2049,2050,¬,Ver,,,orphan,high,nothing to continue into - the next line holds no words,False,0,,0,,0,,ens zu jeder Ver¬ || 3
8,8,2062,2063,¬,Un,glüks,Unglüks,split,high,joined form unattested; both halves are real words,False,0,0,1,594768,1,14,Remissionen bei Un¬ || glüks
8,8,2063,2065,,glüks,glüksfällen,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,"glüks || glüksfällen, selbige"
8,9,2070,2071,¬,Vieh,sterben,Viehsterben,join,high,joined form occurs elsewhere in this corpus,False,4,,9,,3,,"Mißwachs, Vieh¬ || sterben, Ueber"
8,9,2083,2084,¬,fin,den,finden,join,high,joined form occurs elsewhere in this corpus,False,9,,1,,482,,Erbgieße statt fin¬ || den.
8,9,2089,2090,¬,be,richtigen,berichtigen,join,high,joined form occurs elsewhere in this corpus,False,23,,11,,7,,ErbPächter zu be¬ || richtigen.
8,10,2106,2107,¬,Ver,bindlichkeiten,Verbindlichkeiten,join,high,joined form occurs elsewhere in this corpus,False,4,,3,,3,,enthaltenen Ver¬ || bindlichkeiten nach¬
8,10,2107,2108,¬,nach,kommen,nachkommen,join,high,joined form occurs elsewhere in this corpus,False,10,,89,,20,,bindlichkeiten nach¬ || kommen werden
8,10,2115,2116,¬,ver,treten,vertreten,join,high,joined form occurs elsewhere in this corpus,False,11,,3,,2,,Anspruche zu ver¬ || treten.
8,10,2117,2118,¬,ErbPäch,ter,ErbPächter,join,high,joined form occurs elsewhere in this corpus,False,85,,0,,15,,Sollte aber ErbPäch¬ || ter oder dessen
8,10,2120,2121,¬,Erb,zinsen,Erbzinsen,join,high,joined form occurs elsewhere in this corpus,False,5,,32,,23,,dem jährlichen Erb¬ || zinsen länger als
8,10,2129,2130,¬,Grund,herrschaft,Grundherrschaft,join,high,joined form occurs elsewhere in this corpus,False,27,,44,,39,,so soll die Grund¬ || herrschaft berech¬
8,10,2130,2131,¬,berech,tiget,berechtiget,join,high,joined form occurs elsewhere in this corpus,False,4,,0,,3,,"herrschaft berech¬ || tiget seyn, diese"
8,10,2133,2134,¬,Erb,Pächter,ErbPächter,join,high,joined form occurs elsewhere in this corpus,False,85,,32,,46,,ausguethung und gehet Erb¬ || Pächter seines ganzen
8,10,2135,2137,,Rech,Rechts,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,Rech || Rechts und eingepachten
8,11,2140,2141,¬,ver,sprechen,versprechen,join,high,joined form occurs elsewhere in this corpus,False,20,,3,,4,,beide Theile ver¬ || sprechen diesem
8,11,2143,2144,¬,unverbrach,lich,unverbrachlich,join,high,head is not a word on its own,False,0,0,0,0,20,,"fest und unverbrach¬ || lich einzuhalten, sie"
8,11,2147,2148,¬,dan,wider,danwider,split,high,joined form unattested; both halves are real words,False,0,0,0,367697,10,0,"belehrt, allen dan¬ || wider statt fin¬"
8,11,2148,2149,¬,fin,denden,findenden,join,high,joined form occurs elsewhere in this corpus,False,5,,1,,4,,"wider statt fin¬ || denden Ausflüchten,"
8,11,2150,2151,¬,Ein,wande,Einwande,join,high,joined form occurs elsewhere in this corpus,False,10,,95,,3,,besonders dem Ein¬ || wande einer vor¬
8,11,2151,2152,¬,vor,gefallenen,vorgefallenen,join,high,joined form occurs elsewhere in this corpus,False,6,,43,,1,,wande einer vor¬ || gefallenen Ver¬
8,11,2152,2153,¬,Ver,leggung,Verleggung,join,high,joined form occurs elsewhere in this corpus,False,1,,3,,1,,gefallenen Ver¬ || leggung über und
8,11,2155,2156,¬,Ueber,redung,Ueberredung,join,high,joined form occurs elsewhere in this corpus,False,5,,3,,5,,"der listigen Ueber¬ || redung, furcht, zwangs"
8,11,2157,2158,¬,verabge,redeber,verabgeredeber,split,high,joined form unattested; both halves are real words,False,0,0,1,0,1,0,"anders verabge¬ || redeber, als ver¬"
8,11,2158,2159,¬,ver,schriebener,verschriebener,join,high,joined form occurs elsewhere in this corpus,False,3,,3,,4,,"redeber, als ver¬ || schriebener oder"
8,11,2160,2161,¬,verstan,dener,verstandener,join,high,joined form occurs elsewhere in this corpus,False,1,,0,,3,,nicht recht verstan¬ || dener Sachen
8,11,2164,2165,¬,auszu,fertigen,auszufertigen,join,high,"joined form attested in DWDS (10,917 hits)",False,0,10917,0,,3,,gerichtlich auszu¬ || fertigen und
8,11,2170,2172,,nach,nachstehend,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,nach || nachstehend eigen¬
8,12,2172,2173,¬,eigen,händig,eigenhändig,join,high,joined form occurs elsewhere in this corpus,False,17,,1,,4,,nachstehend eigen¬ || händig unterschrie¬
8,12,2173,2174,¬,unterschrie,ben,unterschrieben,join,high,joined form occurs elsewhere in this corpus,False,21,,0,,14,,"händig unterschrie¬ || ben, und unter"
8,12,2192,2193,¬,Be,tref,Betref,join,high,joined form occurs elsewhere in this corpus,False,1,,11,,1,,jede Angelegenheiten im Be¬ || tref der mir zugehörigen
